Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q_int
run_0097,det0,0.000574419,4.43515e-05,656.108,50.6588,8.79016,1.2933,1,0,1.14221e+06
run_0097,det1,0.000581317,5.25596e-05,663.988,60.0343,11.3352,1.51281,1,0,1.14221e+06
run_0097,det2,0.000308066,4.53942e-05,351.877,51.8499,11.3302,1.23855,1,0,1.14221e+06
run_0097,det3,0.000650745,6.12336e-05,743.289,69.9418,13.2742,0.870241,1,0,1.14221e+06
run_0097,det4,0.000627178,5.90008e-05,716.371,67.3915,12.2225,1.04441,1,0,1.14221e+06
run_0097,det5,0.000559815,5.44055e-05,639.428,62.1426,11.5053,1.05465,1,0,1.14221e+06
run_0097,det6,0.000725849,6.3253e-05,829.074,72.2484,12.451,1.18883,1,0,1.14221e+06
run_0097,det7,0.000639938,6.50839e-05,730.945,74.3397,13.17,1.11762,1,0,1.14221e+06
run_0097,det8,0.00059535,5.1415e-05,680.016,58.7269,10.3484,1.30181,1,0,1.14221e+06
run_0097,det9,0.000550221,4.42588e-05,628.47,50.553,9.75728,2.41884,1,0,1.14221e+06
run_0097,det10,0.000281224,7.68587e-05,321.218,87.7891,14.7234,1.17875,1,0,1.14221e+06
run_0097,det11,0.000734692,7.20377e-05,839.175,82.2824,14.9974,1.81456,1,0,1.14221e+06
run_0097,det12,0.00064272,5.08074e-05,734.123,58.0329,10.2951,1.43776,1,0,1.14221e+06
run_0099,det0,0.000578151,5.53033e-05,456.071,43.6257,8.61418,1.29964,1,0,788844
run_0099,det1,0.000549385,5.63872e-05,433.379,44.4807,9.46637,1.35504,1,0,788844
run_0099,det2,0.000271418,5.37162e-05,214.106,42.3737,10.5351,1.09893,1,0,788844
run_0099,det3,0.000575225,6.05554e-05,453.763,47.7687,11.0023,1.17343,1,0,788844
run_0099,det4,0.000535229,6.37635e-05,422.212,50.2994,11.7748,1.2018,1,0,788844
run_0099,det5,0.000622542,5.8196e-05,491.089,45.9076,9.83737,1.10415,1,0,788844
run_0099,det6,0.000626781,7.15449e-05,494.432,56.4378,12.0845,1.17344,1,0,788844
run_0099,det7,0.000878674,9.8676e-05,693.137,77.84,15.4194,1.0625,1,0,788844
run_0099,det8,0.000525798,6.84381e-05,414.772,53.987,11.539,1.05367,1,0,788844
run_0099,det9,0.000520541,4.67955e-05,410.625,36.9143,8.27081,1.57329,1,0,788844
run_0099,det10,0.000410471,0.000100024,323.797,78.9037,14.5734,0.935446,1,0,788844
run_0099,det11,0.000601225,6.23899e-05,474.273,49.2159,11.3088,1.79321,1,0,788844
