,Angle,Detector,Ep,Q int,Run,Yield,Yield effcor,Yield err,Yield err effcor
0,120,0,2499,1140000.0,97,0.0005744190000000001,3.050881567640499e-11,4.44e-05,2.35819395951802e-12
1,105,1,2499,1140000.0,97,0.0005813169999999999,3.273931968860119e-11,5.2600000000000005e-05,2.962390942670562e-12
2,90,2,2499,1140000.0,97,0.00030806599999999996,2.942378714934269e-11,4.54e-05,4.336213462635144e-12
3,45,3,2499,1140000.0,97,0.000650745,3.7223979790045365e-11,6.12e-05,3.5007684471655967e-12
4,30,4,2499,1140000.0,97,0.000627178,3.4695728929745706e-11,5.9e-05,3.2639027626208126e-12
5,15,5,2499,1140000.0,97,0.000559815,2.978144271403485e-11,5.44e-05,2.8940104921152457e-12
6,0,6,2499,1140000.0,97,0.000725849,4.0017287072442525e-11,6.330000000000001e-05,3.4898364145788062e-12
7,-15,7,2499,1140000.0,97,0.000639938,3.493654393307925e-11,6.51e-05,3.5540458763871797e-12
8,-30,8,2499,1140000.0,97,0.00059535,3.2568992897200324e-11,5.14e-05,2.8118690432789056e-12
9,-45,9,2499,1140000.0,97,0.0005502209999999999,3.046926846240831e-11,4.429999999999999e-05,2.453175347514341e-12
10,-90,10,2499,1140000.0,97,0.000281224,2.4993592963819594e-11,7.69e-05,6.834435535081383e-12
11,-105,11,2499,1140000.0,97,0.000734692,4.240899201325297e-11,7.2e-05,4.156091838422378e-12
12,-120,12,2499,1140000.0,97,0.00064272,3.5145413002308413e-11,5.08e-05,2.7778612467595025e-12
39,120,0,2492,607596.0,101,0.00103951,5.521095051483281e-11,7.6e-05,4.036548218994809e-12
40,105,1,2492,607596.0,101,0.0008421689999999999,4.743030071859171e-11,7.709999999999999e-05,4.342211819009511e-12
41,90,2,2492,607596.0,101,0.000435614,4.160606368529396e-11,6.05e-05,5.778434239855203e-12
42,45,3,2492,607596.0,101,0.0009637939999999999,5.5131039620384296e-11,7.58e-05,4.335919089790069e-12
43,30,4,2492,607596.0,101,0.0006559939999999999,3.628984116716402e-11,7.759999999999999e-05,4.292861938633475e-12
44,15,5,2492,607596.0,101,0.000776937,4.133205569324527e-11,7.13e-05,3.793068898673107e-12
45,0,6,2492,607596.0,101,0.000810743,4.4697637350155845e-11,7.56e-05,4.1679562866059674e-12
46,-15,7,2492,607596.0,101,0.00105249,5.7459258747138906e-11,0.000144086,7.866179019126318e-12
