Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q_int
run_0097,det0,0.0242552,0.000197381,27704.7,225.451,7.65109,0.913698,1,0,1.14221e+06
run_0097,det1,0.0236561,0.000207694,27020.3,237.231,8.04683,1.11037,1,0,1.14221e+06
run_0097,det2,0.0090209,0.000153422,10303.8,175.241,7.98953,1.29295,1,0,1.14221e+06
run_0097,det3,0.0218537,0.000197163,24961.5,225.202,8.33263,1.30043,1,0,1.14221e+06
run_0097,det4,0.0227423,0.000201395,25976.6,230.035,8.4011,1.18699,1,0,1.14221e+06
run_0097,det5,0.0232337,0.000207861,26537.8,237.422,8.84644,1.18598,1,0,1.14221e+06
run_0097,det6,0.0230943,0.000198942,26378.6,227.235,7.99985,0.985128,1,0,1.14221e+06
run_0097,det7,0.0228326,0.000201953,26079.7,230.673,8.22614,1.37906,1,0,1.14221e+06
run_0097,det8,0.0232547,0.000200706,26561.8,229.249,7.88681,1.06682,1,0,1.14221e+06
run_0097,det9,0.0227327,0.000191603,25965.6,218.851,7.6751,1.20021,1,0,1.14221e+06
run_0097,det10,0.00958904,0.000174771,10952.7,199.625,8.92815,1.17486,1,0,1.14221e+06
run_0097,det11,0.0182541,0.000210839,20850.1,240.823,9.46916,1.30487,1,0,1.14221e+06
run_0097,det12,0.0241925,0.000208569,27633,238.23,7.8909,1.16108,1,0,1.14221e+06
run_0099,det0,0.023096,0.000233611,18219.1,184.282,7.58941,1.1567,1,0,788844
run_0099,det1,0.0226858,0.000250945,17895.5,197.956,7.94526,1.20474,1,0,788844
run_0099,det2,0.00856785,0.000183698,6758.69,144.909,8.15328,1.21544,1,0,788844
run_0099,det3,0.0207546,0.000234384,16372.1,184.893,8.26633,1.02059,1,0,788844
run_0099,det4,0.0211723,0.000237339,16701.6,187.224,8.24313,0.892755,1,0,788844
run_0099,det5,0.0221846,0.000248361,17500.2,195.918,8.76651,1.37957,1,0,788844
run_0099,det6,0.0218946,0.000238647,17271.4,188.256,8.04666,0.666848,1,0,788844
run_0099,det7,0.0216229,0.000242235,17057.1,191.086,8.16934,0.881393,1,0,788844
run_0099,det8,0.0221658,0.000233765,17485.4,184.404,8.00547,0.888781,1,0,788844
run_0099,det9,0.0217195,0.000228523,17133.3,180.269,7.65968,1.03748,1,0,788844
run_0099,det10,0.00891416,0.000204587,7031.88,161.388,8.68317,0.893332,1,0,788844
run_0099,det11,0.0169315,0.000244373,13356.3,192.772,9.30426,1.217,1,0,788844
run_0099,det12,0.0238897,0.00024308,18845.3,191.752,7.87233,1.06457,1,0,788844
run_0100,det0,0.0219586,0.00025553,14333.3,166.796,7.61305,1.15473,1,0,652745
run_0100,det1,0.021009,0.000276571,13713.5,180.53,7.86749,1.25408,1,0,652745
run_0100,det2,0.00824949,0.000201549,5384.81,131.56,8.16872,0.944771,1,0,652745
run_0100,det3,0.0203917,0.000256553,13310.6,167.464,8.41113,0.81123,1,0,652745
run_0100,det4,0.0201676,0.000258129,13164.3,168.492,8.21847,1.00843,1,0,652745
run_0100,det5,0.021103,0.000269885,13774.9,176.166,8.87844,0.982327,1,0,652745
run_0100,det6,0.0213218,0.000260071,13917.7,169.76,8.02859,0.629839,1,0,652745
run_0100,det7,0.021089,0.000264291,13765.7,172.515,8.268,0.919559,1,0,652745
run_0100,det8,0.0210757,0.000250126,13757.1,163.268,7.68142,1.41594,1,0,652745
run_0100,det9,0.0207379,0.000251167,13536.6,163.948,7.78472,0.722234,1,0,652745
run_0100,det10,0.00916879,0.00023398,5984.88,152.73,9.10641,1.00351,1,0,652745
run_0100,det11,0.0166546,0.00027314,10871.2,178.291,9.63872,1.20139,1,0,652745
run_0100,det12,0.0230892,0.000267233,15071.4,174.435,8.04657,1.13778,1,0,652745
run_0101,det0,0.0214081,0.000260447,13007.5,158.247,7.68519,0.808098,1,0,607596
run_0101,det1,0.0207256,0.000275022,12592.8,167.102,7.9215,1.02844,1,0,607596
run_0101,det2,0.00803384,0.000206307,4881.33,125.352,8.24039,1.0501,1,0,607596
run_0101,det3,0.0192971,0.000259301,11724.8,157.55,8.25688,0.945677,1,0,607596
run_0101,det4,0.0194028,0.000278288,11789.1,169.086,8.19265,1.14775,1,0,607596
run_0101,det5,0.0202139,0.000279679,12281.9,169.932,8.83673,1.17923,1,0,607596
run_0101,det6,0.0201537,0.000260835,12245.3,158.482,7.97195,1.17124,1,0,607596
run_0101,det7,0.0200073,0.000271035,12156.4,164.679,8.2995,0.922445,1,0,607596
run_0101,det8,0.0206461,0.000265245,12544.5,161.162,7.88444,0.906003,1,0,607596
run_0101,det9,0.0199171,0.000253422,12101.5,153.978,7.72475,0.916331,1,0,607596
run_0101,det10,0.00871389,0.000243595,5294.52,148.007,8.99291,0.898623,1,0,607596
