Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q int
run_0097,det0,0.0263588,0.000174597,30107.4,199.427,8.44536,1.56547,1,0,1.14E+06
run_0097,det1,0.0260425,0.000176766,29746.1,201.905,8.91198,1.74101,1,0,1.14E+06
run_0097,det2,0.0108217,0.000126625,12360.7,144.632,8.91738,1.48049,1,0,1.14E+06
run_0097,det3,0.0235642,0.000169644,26915.3,193.769,9.21627,1.81051,1,0,1.14E+06
run_0097,det4,0.0239326,0.000170753,27336.1,195.036,9.33686,1.65412,1,0,1.14E+06
run_0097,det5,0.0242435,0.000173738,27691.2,198.446,9.92719,1.84717,1,0,1.14E+06
run_0097,det6,0.0238693,0.000170349,27263.8,194.575,8.8431,1.39123,1,0,1.14E+06
run_0097,det7,0.0240252,0.000172576,27441.9,197.118,9.39839,1.82091,1,0,1.14E+06
run_0097,det8,0.0243753,0.000169456,27841.8,193.554,8.75938,1.42576,1,0,1.14E+06
run_0097,det9,0.024392,0.000168095,27860.9,192,8.45608,1.25,1,0,1.14E+06
run_0097,det10,0.0116289,0.000137871,13282.6,157.478,9.87503,1.81083,1,0,1.14E+06
run_0097,det11,0.0201165,0.000167694,22977.3,191.543,10.6097,2.06983,1,0,1.14E+06
run_0097,det12,0.0270295,0.000177811,30873.4,203.098,8.82326,1.27144,1,0,1.14E+06
run_0099,det0,0.02553,0.000209375,20139.2,165.165,8.32888,1.28046,1,0,788844
run_0099,det1,0.0250237,0.000210241,19739.8,165.847,8.98116,1.25556,1,0,788844
run_0099,det2,0.0103537,0.000148773,8167.45,117.359,8.8179,1.30374,1,0,788844
run_0099,det3,0.0227642,0.000200266,17957.4,157.978,9.21765,1.13994,1,0,788844
run_0099,det4,0.0225009,0.00020237,17749.7,159.638,9.47287,1.31645,1,0,788844
run_0099,det5,0.0236861,0.000207445,18684.6,163.642,10,1.29394,1,0,788844
run_0099,det6,0.0229748,0.00020366,18123.5,160.656,8.75995,1.12556,1,0,788844
run_0099,det7,0.0228677,0.000203028,18039.1,160.158,9.35251,1.61313,1,0,788844
run_0099,det8,0.0236052,0.000203466,18620.8,160.503,8.69107,1.25032,1,0,788844
run_0099,det9,0.0237435,0.000200393,18729.9,158.079,8.43734,1.08203,1,0,788844
run_0099,det10,0.0111794,0.000168576,8818.82,132.98,10.4266,1.355,1,0,788844
run_0099,det11,0.0195579,0.000199735,15428.2,157.56,10.8091,1.65351,1,0,788844
run_0099,det12,0.0263966,0.000211942,20822.8,167.189,8.97441,1.33336,1,0,788844
run_0100,det0,0.0242067,0.000222373,15800.8,145.153,8.27624,1.26677,1,0,652745
run_0100,det1,0.0242692,0.000228168,15841.6,148.936,9.01383,1.17259,1,0,652745
run_0100,det2,0.00971106,0.000161664,6338.85,105.526,8.71858,1.23695,1,0,652745
run_0100,det3,0.0216949,0.000216503,14161.2,141.322,9.33224,1.51975,1,0,652745
run_0100,det4,0.0219567,0.000219574,14332.1,143.326,9.60242,1.40229,1,0,652745
run_0100,det5,0.0220613,0.000221142,14400.4,144.349,9.80434,1.32659,1,0,652745
run_0100,det6,0.0220823,0.000217231,14414.1,141.796,8.72022,1.22796,1,0,652745
run_0100,det7,0.0226453,0.000222694,14781.6,145.362,9.44424,1.69478,1,0,652745
run_0100,det8,0.0227002,0.000217484,14817.4,141.961,8.62369,1.19947,1,0,652745
run_0100,det9,0.0227104,0.000216715,14824.1,141.46,8.51099,1.10232,1,0,652745
run_0100,det10,0.0106571,0.000178449,6956.38,116.482,9.93821,1.68671,1,0,652745
run_0100,det11,0.0190213,0.000217745,12416.1,142.132,10.9293,1.64439,1,0,652745
run_0100,det12,0.0249843,0.000227738,16308.4,148.655,8.82543,1.17958,1,0,652745
run_0101,det0,0.02352,0.000229178,14290.6,139.248,8.50021,1.34132,1,0,607596
run_0101,det1,0.0233516,0.000231348,14188.3,140.566,8.87818,1.15563,1,0,607596
run_0101,det2,0.00924479,0.000165513,5617.1,100.565,8.54728,1.0372,1,0,607596
run_0101,det3,0.0212899,0.000221949,12935.7,134.855,9.15703,1.48329,1,0,607596
run_0101,det4,0.0214844,0.000225634,13053.8,137.094,9.31474,1.2544,1,0,607596
run_0101,det5,0.0218767,0.000228834,13292.2,139.038,9.92303,1.26624,1,0,607596
run_0101,det6,0.0215344,0.00022425,13084.2,136.253,8.90162,1.12498,1,0,607596
run_0101,det7,0.022017,0.000228749,13377.5,138.987,9.4394,1.44379,1,0,607596
run_0101,det8,0.0221359,0.000225294,13449.7,136.888,8.73808,1.22133,1,0,607596
run_0101,det9,0.0217661,0.000220837,13225,134.179,8.49609,1.19331,1,0,607596
run_0101,det10,0.0104353,0.000188404,6340.45,114.474,9.85672,1.25555,1,0,607596
run_0101,det11,0.0184546,0.000222095,11213,134.944,10.7626,1.42262,1,0,607596
run_0101,det12,0.0245502,0.000237582,14916.6,144.354,8.75777,0.908128,1,0,607596
