Run,Angle,Detector,Ep,Q int,Yield,Yield effcor,Yield err,Yield err effcor
97,120,0,2499.3,1140000.0,0.026358799999999998,1.1301770921778363e-09,0.000174597,7.486134792288482e-12
97,105,1,2499.3,1140000.0,0.0260425,1.2079707670936964e-09,0.000176766,8.199218992649875e-12
97,90,2,2499.3,1140000.0,0.010821700000000002,8.378725146838045e-10,0.000126625,9.803968616006426e-12
97,45,3,2499.3,1140000.0,0.0235642,1.1283704866895907e-09,0.00016964400000000002,8.123394082717382e-12
97,30,4,2499.3,1140000.0,0.0239326,1.1051918209986058e-09,0.000170753,7.885261902633853e-12
97,15,5,2499.3,1140000.0,0.0242435,1.1036604944625447e-09,0.000173738,7.909244415490072e-12
97,0,6,2499.3,1140000.0,0.0238693,1.0851436224273806e-09,0.000170349,7.744388437737255e-12
97,-15,7,2499.3,1140000.0,0.0240252,1.1011692648294661e-09,0.000172576,7.909835799377735e-12
97,-30,8,2499.3,1140000.0,0.0243753,1.0912629253871277e-09,0.00016945599999999998,7.586411255836896e-12
97,-45,9,2499.3,1140000.0,0.024391999999999997,1.1386096338781683e-09,0.000168095,7.84661308653455e-12
97,-90,10,2499.3,1140000.0,0.0116289,9.320823834840649e-10,0.000137871,1.1050669478053084e-11
97,-105,11,2499.3,1140000.0,0.0201165,9.694692399617817e-10,0.00016769400000000002,8.08163322278483e-12
97,-120,12,2499.3,1140000.0,0.0270295,1.1584376583763037e-09,0.000177811,7.620672172017571e-12
99,120,0,2496.9,788844.0,0.02553,1.094640923080723e-09,0.000209375,8.977298992167113e-12
99,105,1,2496.9,788844.0,0.0250237,1.1607141435930702e-09,0.00021024099999999998,9.751943248326613e-12
99,90,2,2496.9,788844.0,0.0103537,8.01637511230371e-10,0.000148773,1.1518782411918056e-11
99,45,3,2496.9,788844.0,0.0227642,1.0900625284583894e-09,0.000200266,9.589726953912188e-12
99,30,4,2496.9,788844.0,0.0225009,1.0390768510361402e-09,0.00020237,9.345314291614279e-12
99,15,5,2496.9,788844.0,0.023686099999999998,1.0782854306469476e-09,0.000207445,9.44372104992194e-12
99,0,6,2496.9,788844.0,0.0229748,1.0444779568962888e-09,0.00020366,9.258769638973926e-12
99,-15,7,2496.9,788844.0,0.0228677,1.048116494236917e-09,0.00020302799999999998,9.305570546750778e-12
99,-30,8,2496.9,788844.0,0.023605200000000003,1.0567861567385113e-09,0.000203466,9.109012089156538e-12
99,-45,9,2496.9,788844.0,0.0237435,1.1083378911932722e-09,0.000200393,9.354271907254338e-12
99,-90,10,2496.9,788844.0,0.011179399999999999,8.960539516138032e-10,0.00016857599999999998,1.3511744006587874e-11
