Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q int,Time
run_0077,det0,0.000617865,0.000475672,100.874,77.6591,29.9998,0.698061,1,0,163262,270
run_0077,det1,6.13246e-06,0.00247191,1.0012,403.569,24.705,0.349694,1,0,163262,270
run_0077,det2,0.000117937,9.72732e-05,19.2546,15.881,13.6522,0.425697,0,4,163262,270
run_0077,det3,6.12514e-06,0.000135144,1,22.0639,30,0.482755,1,0,163262,270
run_0077,det4,8.40048e-05,7.7311e-05,13.7148,12.622,9.17288,0.348933,1,0,163262,270
run_0077,det5,6.12513e-06,0.000352211,1,57.5027,30,0.332691,1,0,163262,270
run_0077,det6,0.000102469,0.000203683,16.7293,33.2537,15.5648,0.385074,1,0,163262,270
run_0077,det7,6.12517e-06,0.000215614,1.00001,35.2015,30,0.38822,1,0,163262,270
run_0077,det8,8.85511e-05,4.55964e-05,14.457,7.44416,5,0.482624,1,0,163262,270
run_0077,det9,0.000308256,0.0018037,50.3265,294.476,26.9866,0.527379,1,0,163262,270
run_0077,det10,6.12514e-06,0.000842843,1,137.604,23.7454,0.377176,1,0,163262,270
run_0077,det11,0.000117574,0.000462054,19.1953,75.4358,25.5057,0.388261,1,0,163262,270
run_0077,det12,0.000182101,0.000198103,29.7302,32.3427,29.6084,0.384653,1,0,163262,270
run_0078,det0,0.000179565,3.44157e-05,60.8482,11.6622,5,1.13834,1,0,338864,562
run_0078,det1,0.000267793,6.8511e-05,90.7453,23.2159,15.3191,1.10701,1,0,338864,562
run_0078,det2,0.000126455,6.31214e-05,42.8511,21.3896,14.1154,0.789438,1,0,338864,562
run_0078,det3,0.000282683,5.1064e-05,95.791,17.3037,10.5487,0.736916,1,0,338864,562
run_0078,det4,0.000246726,4.6436e-05,83.6065,15.7355,8.72174,0.698307,1,0,338864,562
run_0078,det5,0.000346662,7.43248e-05,117.471,25.186,14.9961,0.760164,1,0,338864,562
