Detector,Centroid,Width,A,A err,Runtime
det0,970.259,8.90729,20766.9,198.177,2525
det1,972.381,9.55334,18973.9,199.038,2525
det2,979.073,9.89264,11478.5,168.376,2525
det3,978.917,9.74399,18795.3,195.679,2525
det4,972.447,10.2545,19310,207.526,2525
det5,977.442,10.8074,19738.8,209.81,2525
det6,972.573,9.48286,19673.3,199.415,2525
det7,969.307,9.95863,19553,212.28,2525
det8,971.428,9.42629,19966.1,202.8,2525
det9,971.79,9.05806,19515.1,192.467,2525
det10,975.231,11.4863,11082.2,191.783,2525
det11,989.606,11.6499,17843.3,214.267,2525
det12,961.093,9.58982,21027.2,241.461,2525
