,a0,a1,a0_err,a1_err,Chi2,Pval,Chi2NDF
2.1184,4.6529264338187584e-05,1.734717637419404e-05,4.07409449063478e-06,6.557786179315376e-06,1.946877096450997,0.8564457120985649,0.38937541929019936
2.1195,4.4731724239600016e-05,1.2069966281384032e-06,4.730097823799798e-06,7.340854842992907e-06,4.798715988303606,0.4409358846208027,0.9597431976607211
2.1205,4.826152260966605e-05,8.647446583888529e-06,4.692390454523711e-06,7.140002317436398e-06,1.492714547269606,0.9139090195197549,0.2985429094539212
2.1215,5.715612331818126e-05,1.6989061871226102e-05,4.027081268060809e-06,6.9560035799282e-06,5.608854626774938,0.34615715193338037,1.1217709253549875
2.1225,0.00011326259644568829,1.844311257530982e-05,4.53905355584818e-06,7.421764007676485e-06,4.16133184238716,0.5264298168551138,0.832266368477432
2.123,0.0002226525435531835,4.5781976631747995e-05,5.9068205634144245e-06,9.57416121086391e-06,11.542069032654506,0.04163081224813162,2.3084138065309014
2.1235,0.00047211309648052997,6.750728822271259e-05,9.268107441690104e-06,1.5036576827881861e-05,8.869061946493941,0.11440219972331762,1.7738123892987883
2.1238,0.000382169886437983,5.6849947148828156e-05,8.5649045218799e-06,1.3688632395739284e-05,11.551032577322065,0.041485385083347676,2.310206515464413
2.125,0.00012071497883518178,2.8309299982503806e-05,6.256085686157623e-06,9.972267444862133e-06,5.965870599283454,0.30955403842742907,1.1931741198566908
2.126,0.00010527322509362652,1.8523451612285056e-05,5.2037276401645685e-06,8.281501488151093e-06,4.499223902988692,0.4799872839508593,0.8998447805977383
2.1269,0.00010300041850105682,1.787700422178547e-05,6.046300462428724e-06,9.76630750929725e-06,14.27748220458269,0.013939644208643139,2.855496440916538
2.1308,6.790794940438702e-05,6.611353335060451e-06,5.485625380772878e-06,9.927509403562189e-06,1.5291739844767582,0.9096787883958737,0.30583479689535165
2.1359,4.128359550561797e-05,2.5802247191011236e-05,1.0053033707865167e-05,6.28314606741573e-06,2.349450168900371e-31,,-2.349450168900371e-31
2.1378,2.4955024725956018e-05,-4.101807724364668e-07,6.768618456184145e-06,1.0472933531419724e-05,1.699122457941571,0.6371289109770966,0.5663741526471903
2.1599,1.593679695344142e-05,6.057396248624431e-06,1.408547078822979e-06,3.3735078451994576e-06,0.35193093142204473,0.9862198451416636,0.08798273285551118
2.1646,6.534084380331526e-05,-1.0456748390703843e-05,3.1341160806129114e-06,4.689497592140916e-06,4.93230828265242,0.4241971768617223,0.9864616565304839
2.169,5.544337868689665e-05,-9.261222125511898e-06,2.7690017784660214e-06,4.274626450465499e-06,8.13472192012541,0.14896546773867358,1.626944384025082
2.1735,3.490499282815885e-05,1.0548420864951513e-05,9.094521541056623e-06,1.477351915204194e-05,0.18641421650513157,0.6659179428031539,0.18641421650513157
2.1741,2.6362155127872905e-05,2.9222541060136933e-06,2.479392289649155e-06,4.101383130329883e-06,1.833250264971361,0.8717032440866079,0.36665005299427217
2.1745,0.00040222590588060824,5.7350597091043124e-05,1.047874533504615e-05,1.6916162961022367e-05,10.241443152626987,0.06867607084584922,2.0482886305253976
2.1749,0.0004378212280514522,3.8248525413759975e-05,5.929497438161784e-06,9.676628194254269e-06,9.654079090077833,0.08565152811868007,1.9308158180155666
2.175,0.0010621655349794617,0.00014451998384667358,1.3844535090713238e-05,2.282405416989899e-05,23.14027213082499,0.00031734585947402674,4.628054426164998
2.1754,0.0003520988595433394,4.702523939934065e-05,1.131838756649835e-05,1.8344211080361658e-05,7.557290467636187,0.18238123836066134,1.5114580935272373
2.176,0.00017085369549500078,2.341365368841198e-05,4.120728506769218e-06,6.773022366433551e-06,3.1336623099318253,0.679387737706942,0.626732461986365
2.1764,6.916612644255048e-05,1.076795384791925e-05,3.604058553696598e-06,6.013922461213424e-06,1.6168124334044844,0.8992087814342719,0.3233624866808969
2.1769,8.297497880933313e-05,9.755952841600181e-06,4.258048100340155e-06,7.091911649786076e-06,3.5240647516947754,0.6197494944871229,0.7048129503389551
2.178,2.6543801470066136e-05,8.925917217086869e-06,3.7073725947864487e-06,6.707258990703228e-06,0.6684407729639514,0.9551630258481522,0.16711019324098786
2.1791,1.4593790468499417e-05,-4.2018827170995385e-06,1.7363583964724539e-06,2.803118090711783e-06,2.393306032424496,0.7924705656802151,0.4786612064848992
2.185,1.9576428673178657e-05,-1.4857146927146387e-06,3.773420423502375e-06,5.309909673501116e-06,5.152720581257587e-31,,inf
2.1896,1.1618815346808434e-05,1.0451345775864566e-05,2.4044646412281966e-06,2.16286175666084e-06,0.0,,-0.0
2.1947,4.5755007850585536e-05,2.3516077111815166e-05,3.0137317352050003e-06,5.1936713271638244e-06,3.337025225854861,0.648178082607734,0.6674050451709722
2.1974,0.00010698106666856991,3.515022485508671e-05,4.030425981464728e-06,6.750007709958637e-06,3.0376875095762363,0.694175391040394,0.6075375019152472
2.198,4.96478810303579e-05,2.5148263312577194e-05,3.415333339091135e-06,5.819035575575769e-06,3.1631918379893396,0.6748429757256209,0.632638367597868
2.1981,0.00014690308848599196,5.406830256506091e-05,7.320826999163389e-06,1.1922022566289734e-05,8.197330181675621,0.14569046194718427,1.6394660363351243
2.1984,6.838613276484844e-05,1.9067730068393244e-05,4.027769437020366e-06,6.897427398111716e-06,4.558587494229738,0.47208310671134956,0.9117174988459477
2.1985,7.632197795083849e-05,2.1181252748641392e-05,7.372601699158282e-06,1.2185094855975369e-05,0.1467116315598637,0.9974374901158467,0.03667790788996592
2.199,0.0003303412521143775,5.292670822552674e-06,1.2261515456704665e-05,1.91565664135397e-05,24.130018225529135,0.00020497124167285352,4.826003645105827
2.1991,4.8473090842290824e-05,-2.313284421873101e-06,5.313028336030799e-06,7.5065457079304165e-06,4.500881188743366,0.3424430064269443,1.1252202971858416
2.1994,0.0001518930880723235,-4.42124421261075e-08,7.943912822664917e-06,1.3024289272822306e-05,11.810505107003086,0.0374786058185879,2.3621010214006173
2.1998,7.381607794504737e-05,1.1111419830413438e-05,3.1046497553622523e-06,5.292239162949027e-06,7.284967459378454,0.20029484070352221,1.4569934918756908
2.2,4.382796446809678e-05,2.1081657686063925e-06,5.832923629736487e-06,1.044482291977004e-05,0.006563886114828952,0.9967234366308155,0.003281943057414476
2.2018,2.6653767789484836e-05,5.860193323388549e-07,2.8918667255729743e-06,4.861384927105278e-06,4.309062167796823,0.5058290724769452,0.8618124335593645
2.204,1.888248707129015e-05,4.898838418129092e-06,4.158073595658215e-06,6.841391465247377e-06,0.09225124104265968,0.7613344430705831,0.09225124104265968
2.2049,1.6488188196624522e-05,6.853599361816624e-06,4.885343271844053e-06,7.010154622099188e-06,1.6079796921526666,0.20477602778675394,1.6079796921526666
2.2054,1.642558059860265e-05,4.005265027779604e-06,1.915587309694507e-06,3.2049925317612924e-06,10.018529814899031,0.07471191139146731,2.003705962979806
2.2097,1.7036457449990503e-05,-1.7300757378325556e-06,2.4723615983810162e-06,4.128314613882506e-06,1.4371466995745221,0.8377137274020272,0.35928667489363053
2.2099,1.5920898876404496e-05,9.95056179775281e-06,4.019775280898876e-06,2.512359550561798e-06,0.0,,-0.0
2.2138,2.026333666665853e-05,-6.226983377696701e-06,2.841454688001816e-06,5.570270637834595e-06,0.5556607131546508,0.4560139100220617,0.5556607131546508
2.2199,1.5149560264929523e-05,3.907394719508166e-06,4.0015161198523916e-06,6.4625726633837654e-06,6.644985042889982,0.08411671101115802,2.214995014296661
2.2246,2.118445367404986e-05,-7.871262629268593e-06,2.5318543999145674e-06,4.48633327073656e-06,1.027086912576203,0.9056612901471334,0.25677172814405075
2.2294,1.5665074667476893e-05,4.966798330094163e-07,2.0014943321291878e-06,3.034351131443614e-06,0.5924893634461743,0.9638946216506241,0.14812234086154358
2.2446,2.6335555555555526e-05,-2.195555555555527e-06,8.442453858949648e-06,1.1624019406405594e-05,1.2909136833157982e-29,,inf
2.2495,2.7101895712735757e-05,-5.10483429811361e-06,1.0575245182507067e-05,1.3796809911732688e-05,1.47709787747382e-29,,inf
2.2544,2.3676254064666066e-05,-4.700850732767255e-06,4.954396908737844e-06,7.319343028918617e-06,0.007252024215954369,0.9321351303914868,0.007252024215954369
2.2596,1.693746372268749e-05,3.4941298486655663e-06,2.3288729140094695e-06,5.22506835602042e-06,0.3266572530928459,0.9549394271813315,0.10888575103094862
2.2642,1.9142183398502193e-05,-8.936146601199171e-06,2.76269459383382e-06,1.2525643916079446e-05,0.5998853076558099,0.43862178975094046,0.5998853076558099
2.2691,1.59817684158363e-05,1.01302961191098e-06,2.0941557472999275e-06,4.049191170585824e-06,0.21533167804683356,0.6426202020531729,0.21533167804683356
2.2747,1.7291683073749654e-05,3.955272101918849e-06,3.207508298481407e-06,4.925495960831707e-06,0.12907040846054366,0.9375031096057502,0.06453520423027183
2.2794,2.0048539325842692e-05,1.2530337078651684e-05,5.436404494382022e-06,3.3977528089887642e-06,2.008523875967376e-31,,-2.008523875967376e-31
2.29,1.958937125031967e-05,-6.931691086413612e-07,2.6499017139030235e-06,4.0368565878760985e-06,3.1155501835422608,0.21060412517024507,1.5577750917711304
2.2917,2.3624654407810072e-05,1.138212547612711e-05,2.979157051735987e-06,6.6424506501379044e-06,1.1168370076305747,0.5721131435148012,0.5584185038152873
2.2939,2.5470854194742376e-05,-3.9808541947416315e-06,9.32598513352731e-05,0.0001014421419148942,4.7670545558672215e-26,,inf
2.2957,2.453750617100486e-05,2.392345777913139e-06,3.880184160683952e-06,8.389382542708687e-06,1.1166956666664853,0.2906310765185393,1.1166956666664853
2.2978,2.050369255360354e-05,-1.0231426740384451e-06,3.0113794274787147e-06,4.826818588838464e-06,1.3833623140652074,0.8470815100999823,0.34584057851630184
2.2998,5.158207725971271e-05,4.9499438808798374e-06,3.6611811846630325e-06,6.068892683617173e-06,3.4033734480088746,0.6380561901884335,0.6806746896017749
2.302,2.1186181296907737e-05,1.150487466042894e-06,2.7120659095094185e-06,4.0051342336213715e-06,1.302426287878589,0.7285570109377304,0.4341420959595297
2.3035,2.0376134685077174e-05,1.1105935268003576e-06,3.291522307993965e-06,5.654243071914425e-06,0.5735363388108707,0.9024629847281628,0.1911787796036236
2.3059,2.523344251263483e-05,-4.3085172587265536e-06,3.940214938976169e-06,5.738130153029115e-06,0.9138122348538684,0.6332397874527929,0.4569061174269342
2.3077,2.9303858311705896e-05,7.210758435100429e-07,4.289412099695374e-06,6.6282612361397885e-06,0.19977731102048948,0.9049381723056945,0.09988865551024474
2.3098,2.762757284615437e-05,-5.473666657846848e-06,4.690458816344775e-06,1.2825396680921848e-05,0.9506989549810236,0.6216677596084915,0.4753494774905118
2.3139,2.2938888888888876e-05,2.631111111111125e-06,8.126516952408194e-06,1.2948087803910578e-05,2.2525014111443758e-30,,inf
2.318,2.6680875943639148e-05,1.4959548572625866e-05,5.0723364676598666e-06,9.816642033646471e-06,0.2824812032697797,0.5950795408278204,0.2824812032697797
2.3197,2.1068388868327996e-05,9.47110946623907e-07,7.696728871270548e-06,2.8832053009649294e-05,1.8969259402057144e-30,,inf
2.3209,2.425856679627019e-05,-6.22749796908478e-06,2.830728293667089e-06,4.540247093061743e-06,1.7356969584984778,0.8843722148583126,0.34713939169969554
2.3218,2.2869931264675672e-05,-3.05132351644918e-06,2.547183224750939e-06,4.977093401135842e-06,0.9702031179022069,0.8084613885445922,0.32340103930073566
2.3229,2.593863260298584e-05,4.558814966036949e-06,2.919408482216006e-06,5.303318812092868e-06,0.4002276285590808,0.9953233212182513,0.08004552571181615
2.3245,4.818456352194319e-05,2.86115234628542e-06,4.165616581997917e-06,7.206834527566087e-06,4.112769148955842,0.5332969548516322,0.8225538297911683
2.3251,6.524644009977236e-05,1.0155972550385129e-05,4.178672166264265e-06,6.796676366429031e-06,3.1161123294244453,0.6820901740854295,0.623222465884889
2.3255,8.913848688991247e-05,7.665801302476333e-06,3.7773032015800845e-06,6.119108392881295e-06,7.749859435500914,0.17057086115170192,1.5499718871001829
2.3258,0.000115100326001892,6.231761026119633e-06,5.93609227664021e-06,9.579458981651496e-06,3.85316860447258,0.5707439767562204,0.770633720894516
2.326,0.00011407873145509688,1.6310543595471477e-05,6.142191857739903e-06,9.892809446309611e-06,3.51289143966568,0.6214378929320384,0.702578287933136
2.3266,0.00013157357767264676,1.1459732473482353e-05,5.036405738340222e-06,8.286585782952754e-06,3.1899440090032405,0.6707286356413161,0.6379888018006481
2.327,0.0001028616591628873,1.0802474277551744e-05,5.807319040315221e-06,9.266327322323904e-06,3.962191881758038,0.5548721702379521,0.7924383763516076
2.3275,7.829918587083046e-05,1.2134655794195562e-05,5.321476235779298e-06,8.063394250094994e-06,2.8502324675503337,0.7230622943987328,0.5700464935100668
2.328,6.4975888908491e-05,-1.5305020133874104e-06,4.5430310367077366e-06,7.87194689146091e-06,0.3080629827224757,0.9974886864258885,0.061612596544495135
2.3286,4.861696185991353e-05,-4.361034100557496e-06,3.7057487882115574e-06,6.0259436870979475e-06,3.3766123421772942,0.6421343270446218,0.6753224684354588
2.329,4.2274885399038546e-05,2.286413559007174e-06,3.1588190015242396e-06,5.425715946558957e-06,1.5253412868243559,0.9101270400888425,0.3050682573648712
2.3298,3.156448138145411e-05,-4.775745644062588e-06,4.704766489787922e-06,6.615008762984747e-06,0.30941729253376216,0.9582477205989495,0.10313909751125405
2.3299,3.29089475241475e-05,1.2702017942793398e-05,2.8093913532762865e-06,4.669954753671214e-06,2.083264062171434,0.837508074167176,0.4166528124342868
2.3339,2.202207888347975e-05,2.1766310678381236e-06,8.323313783635453e-06,1.329742479011103e-05,9.024173681212208e-30,,inf
2.334,2.4436208838454574e-05,-2.407808535772862e-06,2.674942730457228e-06,4.358820820820594e-06,2.6966765654841263,0.746626694944718,0.5393353130968253
2.3374,2.9908535988694626e-05,-8.296575819113897e-07,4.652435312591787e-06,9.428859870371766e-06,1.11135495570095e-30,,inf
2.3417,3.537723076923078e-05,-4.42215384615384e-06,9.137230769230769e-06,1.1421538461538442e-06,5.331932325611671e-31,,-5.331932325611671e-31
2.3418,2.1059954314200454e-05,2.8094336653366865e-06,1.832978298563127e-06,3.039355999638258e-06,2.525823179647476,0.7726011265074627,0.5051646359294952
2.3435,2.441460659398695e-05,-3.240326217538811e-06,4.307089334962343e-06,5.921446865256638e-06,1.6389807284970181,0.801769657862232,0.40974518212425454
2.3439,2.9948935916683e-05,5.37131983803686e-07,1.0741319778876748e-05,1.5047610248736402e-05,0.11801325584533512,0.7311993433503032,0.11801325584533512
2.3452,2.157986127969728e-05,-1.802765829947615e-06,3.3968428734250007e-06,5.0667211928960405e-06,5.487212691535448,0.3593500932430032,1.0974425383070896
2.3467,2.8432087388953558e-05,-1.0289786479510358e-05,3.29307607367932e-06,4.746860944834682e-06,5.513282568900343,0.35649159722689777,1.1026565137800686
2.348,3.6510795044138944e-05,-1.132290764132802e-05,5.925546695154064e-06,9.868548898555102e-06,1.254264016142991,0.5341214624732387,0.6271320080714955
2.3481,2.89422985330373e-05,-2.766371304580019e-06,3.949296640974381e-06,6.995355834147441e-06,4.022215177231556,0.4030077010553998,1.005553794307889
2.3495,2.6843030371433514e-05,2.131638568718494e-06,3.2623029839808265e-06,5.374224996082655e-06,3.3298454148483527,0.6492755546524087,0.6659690829696705
2.3497,3.2451764705882375e-05,8.112941176470596e-06,7.727058823529412e-06,1.931764705882354e-06,6.131077081527097e-30,,-6.131077081527097e-30
2.3505,2.9809577159840095e-05,4.3539986534427816e-07,3.7874622541708133e-06,6.398949675452918e-06,1.295471814858658,0.9353969356757892,0.2590943629717316
2.3512,3.035271636021385e-05,2.858482627251765e-06,2.710560075957921e-06,4.660416238198223e-06,2.1062126726136423,0.8342619104736473,0.4212425345227285
2.3519,3.118106836025292e-05,-1.4570937640441192e-07,4.196833319957344e-05,5.6509754284343566e-05,2.969548468501134e-28,,inf
2.352,3.9903064992362424e-05,-6.131059786026547e-06,3.252680495389952e-06,5.3787909968661285e-06,7.059696682334631,0.21623831735115798,1.4119393364669262
2.3528,3.706682767057946e-05,-8.018950859478865e-06,3.854647357521946e-06,6.74319613140967e-06,9.099360142982977,0.10516604440297045,1.8198720285965955
2.3536,3.8832018182510805e-05,-1.0941428441666906e-05,3.664938755294399e-06,5.788687192742144e-06,1.4992137361651072,0.9131605313489303,0.29984274723302146
2.3539,4.1164886409047936e-05,-1.8945825263684608e-05,6.791963833123176e-06,1.5048703504477511e-05,1.089061814245107,0.29667917399435395,1.089061814245107
2.3541,4.5578552825506336e-05,-1.5588630958299551e-06,3.745328683573236e-06,5.898565902769314e-06,5.804284552466441,0.3257311327326724,1.1608569104932882
2.3547,4.8625512272003215e-05,-1.580757379369697e-05,3.7933654063609157e-06,5.402970124185268e-06,2.9026607696897058,0.7149896161879397,0.5805321539379411
2.3552,6.05914223103812e-05,-1.6296355739668952e-05,3.951645362226245e-06,6.468583281535308e-06,1.8579000909598906,0.8684371028921078,0.3715800181919781
2.3557,6.306590593904037e-05,-4.101194369680948e-06,3.638300256137897e-06,6.0452084529067055e-06,3.481107724511131,0.6262481787360613,0.6962215449022262
2.356,5.8810764329733105e-05,-1.161793823723776e-05,7.055810180853877e-06,1.0076560102894732e-05,0.3629075647532128,0.9853995522578705,0.0907268911883032
2.3564,8.524156895247462e-05,-1.3586089014126977e-05,4.099688967509219e-06,6.456881418827051e-06,0.9991817692083749,0.9626317422094739,0.19983635384167497
2.3569,9.016011358919529e-05,-1.85963448836737e-05,4.1849418680430574e-06,6.422645326579762e-06,2.7439655675879076,0.7393863226458771,0.5487931135175815
2.3574,9.741381115736495e-05,-1.4404806112531943e-05,4.7326260135577005e-06,7.427506682479773e-06,4.397291544118191,0.4937419368250242,0.8794583088236381
2.3583,9.980503718753751e-05,-3.0813009371177206e-06,3.91739294802184e-06,6.462657787179624e-06,2.510230194700855,0.7749536014994086,0.502046038940171
2.3588,9.574142751438987e-05,-7.773103881009462e-07,4.663623922310158e-06,7.281898926650385e-06,1.7930023092810097,0.8769809977189238,0.3586004618562019
2.3592,8.767094800218967e-05,-4.456622319986883e-06,4.5660206389284156e-06,7.378604000983334e-06,4.004678840620314,0.5487425081962167,0.8009357681240628
2.3605,8.78781135806789e-05,8.913820772647548e-06,3.3460709282056884e-06,5.427305004856555e-06,2.498661764233681,0.7766965985987202,0.4997323528467362
2.361,8.660763176835126e-05,1.2599468862273217e-05,3.219923171614083e-06,5.189813861307332e-06,2.667346302240843,0.751107965188119,0.5334692604481686
2.3612,7.775485373836641e-05,3.185598244949555e-06,5.991732282089006e-06,9.73765517434348e-06,0.19018096550569955,0.9992159245482308,0.03803619310113991
2.3615,8.584250862395117e-05,9.992447824610628e-06,3.2640444502934123e-06,5.2952184246255724e-06,3.058109443254714,0.6910273350004178,0.6116218886509428
2.362,8.778234560719597e-05,7.666346682980247e-06,3.0480106921381817e-06,4.938992397515346e-06,3.3372195222887258,0.6481483888662306,0.6674439044577452
2.3625,9.256975424616807e-05,1.3489936379757647e-05,2.9869139630093285e-06,4.931332943233215e-06,0.6938321857087448,0.9833054636359517,0.13876643714174897
2.3629,9.220539364669524e-05,1.8650342263922627e-05,3.3733220623011144e-06,5.599631457989108e-06,6.471607557438419,0.2629938172779085,1.2943215114876838
2.3634,9.722852989352322e-05,2.1695328044068636e-05,3.2200159742709517e-06,5.290281321290544e-06,7.794258871000917,0.16794487954259515,1.5588517742001833
2.3638,9.476400522213729e-05,1.9049031161442052e-05,4.5819237532820605e-06,7.798730680812605e-06,3.515484884745168,0.6210458739414477,0.7030969769490336
2.364,0.00010590833385105953,1.83932189494761e-05,3.7736096886406845e-06,5.998990796839817e-06,4.170726672345376,0.5251066355909384,0.8341453344690752
2.3644,0.00011565300279172585,2.4876932685606248e-05,3.672695196431106e-06,5.9425068175771165e-06,5.1174562332269105,0.4017146273487372,1.023491246645382
2.3649,0.00012426143144307877,2.3143106528341695e-05,3.931258987877532e-06,6.335221575278252e-06,7.933092286399182,0.15996179664104837,1.5866184572798363
2.3654,0.00013214853848812628,3.558084372470681e-05,3.862395589858689e-06,6.392490753310135e-06,6.063565386466675,0.3000827867922322,1.212713077293335
2.366,0.00014493956148864151,3.8085932137246905e-05,4.077572557031505e-06,6.8061654970300526e-06,6.418420559557093,0.26760608893965065,1.2836841119114186
2.3665,0.00016059614076996168,3.2386232044976114e-05,4.374012748528653e-06,7.101330309420806e-06,6.637956155940508,0.24898789027851462,1.3275912311881015
2.3669,0.0001652690391584029,5.344603122671356e-05,4.2605648418214485e-06,7.115472659565857e-06,10.184269284331764,0.07017928269320636,2.036853856866353
2.3674,0.00017852246103345764,4.4491091131017546e-05,4.510003428220592e-06,7.413118035975286e-06,3.7083380994718613,0.5921236185944135,0.7416676198943722
2.3679,0.00018863184726081213,5.3738061708929775e-05,4.382421241131228e-06,7.186652095930528e-06,7.755579530803549,0.1702305379360035,1.5511159061607098
2.3685,0.00020206558305036984,5.957278971718496e-05,5.138474539025454e-06,8.37468182640094e-06,7.234780135596813,0.20375676460190176,1.4469560271193624
2.3693,0.00019838718541136363,6.428867088058759e-05,4.602350751325847e-06,7.53486588620222e-06,16.425954994515227,0.005727545932266922,3.2851909989030452
2.3696,0.0001997769648598078,6.911787238967894e-05,4.688423914096945e-06,7.757712242427943e-06,7.115781719145723,0.2121709121902214,1.4231563438291446
2.3699,0.00019306899748959338,7.1197891604271e-05,4.714217741795624e-06,7.859402092508834e-06,2.8262050289479923,0.7267584630290442,0.5652410057895985
2.3706,0.00018677051752529324,5.986261985170511e-05,5.1191087873436875e-06,8.498804874677196e-06,10.290898093863769,0.0674000860337978,2.058179618772754
2.3709,0.00017634199336616447,6.12807892439144e-05,4.546200869133157e-06,7.508560446059771e-06,12.53561663093105,0.028141767425740778,2.50712332618621
2.3715,0.00016308496988300372,6.014728738118518e-05,4.435468088541472e-06,7.332759333560406e-06,2.812198334229734,0.7289118950156869,0.5624396668459468
2.372,0.00015789472296197555,5.872801922490338e-05,4.33910447353848e-06,7.3717379022234385e-06,3.5192552685719987,0.620476084713535,0.7038510537143997
2.3723,0.0001536360751623182,5.563624807784076e-05,5.5149544374364764e-06,9.21537057361011e-06,8.455504914297817,0.13285449750397493,1.6911009828595636
2.3725,0.00014394456745850213,5.70531867910086e-05,4.0663035634200265e-06,6.867958404681363e-06,5.823146354383614,0.32380972086229026,1.164629270876723
2.373,0.00013284089060816614,4.07939328725329e-05,4.802007353476165e-06,7.789829484751496e-06,4.383454014784083,0.49562663557561515,0.8766908029568166
2.3741,0.0001010207923149403,3.414295113018588e-05,3.732532233874359e-06,6.152845243913099e-06,3.7636526195917703,0.583920651778338,0.752730523918354
2.375,8.257222241034265e-05,2.9972300641697576e-05,3.2402728432568424e-06,5.422337510653182e-06,3.085738685017262,0.6867692780770933,0.6171477370034524
2.3759,7.345124441235244e-05,2.0687386699890168e-05,2.933410773499773e-06,4.709790016808431e-06,5.375041325484828,0.37184265022987245,1.0750082650969657
2.377,5.984570379874125e-05,1.8239236558973784e-05,3.269068952037207e-06,5.324375399279268e-06,6.486801983091819,0.26168820456385217,1.2973603966183638
2.3779,5.52123692078665e-05,1.876675555540609e-05,2.811087774481809e-06,4.8100499160409014e-06,0.8022384501707146,0.976890348674417,0.16044769003414291
2.3799,4.2855700237364595e-05,1.1959798427323583e-05,3.186413887437334e-06,5.0533980748240896e-06,4.904141480537106,0.4276906677908804,0.9808282961074213
2.3819,3.569229003600115e-05,8.678058336389173e-06,3.0702653650902366e-06,4.9720623089239786e-06,0.9425607978269108,0.9670643328585087,0.18851215956538217
