,a0,a1,a2,a0_err,a1_err,a2_err,Chi2,Pval,Chi2NDF
2.1184,0.0001568519702087709,4.849473051892995e-05,-1.8376117665419226e-05,4.503101986141318e-06,8.879891783605844e-06,1.0076276598830208e-05,6.637881471497554,0.15630742097777206,1.6594703678743885
2.1195,0.00012716512646213088,4.741212301691965e-05,-3.0822989592662166e-05,5.6477043956541205e-06,1.128600563779353e-05,1.262314713721117e-05,1.6362336860031805,0.8022655796525464,0.40905842150079513
2.1205,0.00011421192043431897,4.828337158754781e-05,-2.2184149211240792e-05,5.0956034991394505e-06,1.0103286539729327e-05,1.1245639399931115e-05,0.9539753093652323,0.9166926705295072,0.23849382734130808
2.1215,0.0001012819151215641,2.7872395806442302e-05,-2.9125974792042837e-06,4.4495026032562645e-06,8.920744586421427e-06,9.83258771535693e-06,3.7745037759108966,0.4373826918518403,0.9436259439777241
2.1225,0.00010406301845942813,3.3347600147073575e-05,-1.6770254899540674e-05,4.036937977485864e-06,8.016455820103753e-06,8.810653528473464e-06,4.925331731458424,0.2950450885133513,1.231332932864606
2.123,0.00013665594500457339,3.4617885094231506e-05,-2.2931434846121826e-05,5.121396453938242e-06,1.0304789790899015e-05,1.1005145969617634e-05,10.490385480718242,0.0329296854700804,2.6225963701795605
2.1235,0.0002001013542207898,4.984293750911152e-05,-3.537245708554431e-05,6.463197602528866e-06,1.2413150700778575e-05,1.4364902720585566e-05,4.538250249466364,0.33803605365343903,1.134562562366591
2.1238,0.0001740849074047593,4.104558539051404e-05,-2.0702879819187414e-05,6.367896628719659e-06,1.2510319671413037e-05,1.3953197662039217e-05,6.9808499029583775,0.13690368765189573,1.7452124757395944
2.125,8.91633102233508e-05,2.598620577897113e-05,-8.57015170305407e-06,5.263270060879419e-06,1.005438480992163e-05,1.1352684669300332e-05,3.610606315025905,0.46126085647393755,0.9026515787564763
2.126,8.308330924765597e-05,2.8025233218986173e-05,-1.5993039849068497e-05,4.802826185643221e-06,1.0150450464791565e-05,1.1265341096990042e-05,2.9219979684698045,0.5709625686111629,0.7304994921174511
2.1269,7.981803030817329e-05,1.8228216492370203e-05,-1.6370030172267958e-05,5.4550441571028e-06,1.0796933524320803e-05,1.2059814306212752e-05,2.5836095446624103,0.6297293500658223,0.6459023861656026
2.1308,6.887934264496138e-05,5.463595975047184e-06,-5.967827589319779e-06,6.984361920107383e-06,1.566791105628586e-05,1.3441154986750776e-05,0.919311830414578,0.8207650953894186,0.3064372768048593
2.1359,3.918844872343032e-05,-2.6060396526559486e-06,1.6669409673954634e-05,5.91623950463676e-06,1.162092909549057e-05,1.3567411470738979e-05,3.2458015697662264,0.5175651284066132,0.8114503924415566
2.1378,2.8099602698509708e-05,9.396417741903728e-06,5.776021350809328e-06,5.470245284984698e-06,1.140123651326073e-05,1.2018265376612677e-05,1.8326007723241973,0.607866468847184,0.6108669241080658
2.1418,6.199869850727842e-05,2.4689760866323715e-05,-1.279142607917683e-05,2.4893744082513934e-05,5.3882446124145306e-05,0.00010591986365303966,9.214753632631074e-30,,inf
2.1459,5.667178137245008e-05,-1.7986288939954784e-05,1.1194648055602869e-05,1.4111027862193414e-05,2.842244533620378e-05,2.9769079800903928e-05,0.3582461304713725,0.8360030101586415,0.17912306523568625
2.1497,4.823181610651441e-05,2.678495554872258e-05,1.973131438580514e-05,1.0963601806731212e-05,2.3262978539986916e-05,3.600254344525745e-05,0.15597983656792364,0.692885082472555,0.15597983656792364
2.1599,3.762212679044107e-05,1.3870493077058446e-05,-1.348342809409558e-05,2.2720733318586192e-06,4.2020579854470804e-06,4.995377585248721e-06,16.32203411628412,0.00261612816703762,4.08050852907103
2.1646,0.0002833636384793889,2.166047300713729e-05,-3.221607908142159e-05,4.667587476741866e-06,9.099357802621397e-06,1.0192672006573084e-05,13.34174245720552,0.009721250363648602,3.33543561430138
2.169,0.00021743491624329398,1.4441509631482786e-05,-1.793638659187784e-05,3.962937872213171e-06,7.743095693950089e-06,8.588660878795099e-06,11.067927244618422,0.025811119885609426,2.7669818111546056
2.1735,8.50562479199992e-05,-1.3317302158686243e-05,2.0164830565092104e-06,4.942096080872662e-06,8.914768123295048e-06,1.0344419979324886e-05,0.5877886944106412,0.9644109267106767,0.1469471736026603
2.1741,8.27322955019174e-05,8.218494283660966e-06,-9.76591549640774e-06,3.6876729546200775e-06,7.452203743106178e-06,7.980026696543525e-06,2.8954031935120463,0.575479233189155,0.7238507983780116
2.1745,0.00013863390176048975,5.925487641795171e-06,-2.1839446209163265e-05,6.793944493379331e-06,1.229795731280522e-05,1.4420624381117988e-05,1.2480938141514626,0.8701185762452028,0.31202345353786565
2.1749,0.0001389834252863227,1.2893988263867767e-05,-1.717853958672322e-05,4.019211618667153e-06,7.968190648112173e-06,8.759000293315162e-06,5.962801732776333,0.20194353859823824,1.4907004331940832
2.175,0.00021561101140433984,3.738267582692069e-05,-1.2212495484256486e-05,8.273097980021385e-06,1.644399751277673e-05,1.8463652703453832e-05,2.7412700878795104,0.6020124374590543,0.6853175219698776
2.1754,0.0001245379241792028,1.3327777857509202e-05,-4.250201725578405e-05,7.952155489402767e-06,1.557116635650792e-05,1.736546169079887e-05,0.9269552966067909,0.920662191908267,0.23173882415169772
2.176,9.931640250571308e-05,1.0020037306612852e-05,-1.8009464628539212e-05,3.58816206715531e-06,6.929885010816831e-06,7.704881418659733e-06,5.723246842714214,0.22079165695646824,1.4308117106785534
2.1764,9.415754215174997e-05,8.34490526477231e-06,-1.4512935011837648e-05,3.880901796485053e-06,6.867778235114665e-06,8.396684677177786e-06,2.1637771874902025,0.7056660755180334,0.5409442968725506
2.1769,8.471339369725877e-05,2.7537072787208624e-05,-2.110738687827738e-05,4.11457327902252e-06,7.038367568768715e-06,8.870149738982554e-06,14.843575934129529,0.005036893209166099,3.710893983532382
2.178,8.674817870397126e-05,8.805794956661257e-06,-1.061145854425237e-05,4.3662746047954484e-06,8.592562834971407e-06,9.565887184826513e-06,1.193534504434921,0.8791619680893547,0.29838362610873026
2.1791,0.00010421330826192301,6.539251371798173e-06,-9.570787146030897e-06,3.2008005138846573e-06,6.3577747362552265e-06,6.93765585229037e-06,6.425793102762819,0.16952648285948693,1.6064482756907048
2.185,0.00016844224573204375,3.0396825258213246e-06,-1.5403941006842558e-05,4.458975207923498e-06,8.759495019192912e-06,9.717278737806918e-06,4.49805269896219,0.34277844180063816,1.1245131747405475
2.1896,0.00026137291408424537,5.8882927151260994e-06,-2.4322908437563254e-05,4.982876449742085e-06,9.710974941104306e-06,1.0812523601583895e-05,16.039350121674573,0.002966813636609523,4.009837530418643
2.1947,0.00040928420999545505,1.3350461592599727e-05,-3.748869570920207e-05,6.058069066875536e-06,1.1848358405658918e-05,1.3234304134850295e-05,6.442096031163714,0.16847556181587284,1.6105240077909284
2.1974,0.0004652074257238351,2.3839029259886506e-05,-6.82049692477375e-05,5.860794114374878e-06,1.1469606342395828e-05,1.2800258646300413e-05,9.815293052853939,0.04365667911366844,2.4538232632134847
2.198,0.00048645628317890336,3.476872557064151e-05,-7.522618728763707e-05,7.173531875548495e-06,1.3872271763648503e-05,1.5631737800161196e-05,14.89197487191139,0.004930593232561491,3.7229937179778476
2.1981,0.00046270128065308404,3.377918568840167e-05,-7.149910765045825e-05,9.600228378595335e-06,1.852370857718482e-05,2.0979757538255825e-05,5.604315869395313,0.23071106514666606,1.4010789673488282
2.1984,0.0005141537318380542,2.4878998464587364e-05,-6.68049694135483e-05,6.610060106097771e-06,1.2880256187687663e-05,1.4338497444957561e-05,16.11681580066309,0.002866353759076738,4.029203950165773
2.1985,0.00046896939115257427,5.138166949376417e-05,-8.352723931051153e-05,9.924383795901398e-06,1.9202683614877163e-05,2.1664234508383e-05,10.370975218266633,0.03462145269286749,2.592743804566658
2.199,0.000678041761219945,5.623482484816238e-05,-5.598855439781388e-05,1.2575498648614607e-05,2.447412181234008e-05,2.7568839487817448e-05,5.28360665085883,0.25941547619133776,1.3209016627147074
2.1991,0.0004879460850843034,1.3265506371300186e-05,-6.358040744847821e-05,8.530317172117371e-06,1.6397162282925314e-05,1.838592836891801e-05,9.1857424131019,0.056620825565651185,2.296435603275475
