,Yield,Yield_err
2.12251,2.05605486e-14,2.83773474e-15
2.1229899999999997,4.6476743399999994e-14,3.33180756e-15
2.12351,9.09774198e-14,4.68999918e-15
2.1238200000000003,8.5609278e-14,4.4515094400000005e-15
2.1745,6.82882938e-14,5.11076448e-15
2.17487,9.837881999999999e-14,3.39732936e-15
2.17503,2.03242536e-13,6.99173676e-15
2.17542,6.775659e-14,6.41770812e-15
2.1760300000000004,2.67777504e-14,2.21449266e-15
2.1974099999999996,2.0071458000000002e-14,2.0731321800000002e-15
2.19899,5.88332898e-14,6.9003747000000005e-15
2.19979,1.7035668e-14,1.64536614e-15
2.32655,2.52132372e-14,2.7126505800000003e-15
2.32902,9.90998802e-15,1.522824354e-15
2.33397,8.252190360000001e-15,1.178661888e-15
2.3417800000000004,5.05538334e-15,9.1431747e-16
2.35643,2.00591226e-14,2.15259138e-15
2.3569400000000003,2.2377216599999998e-14,2.1228902999999996e-15
2.35743,1.95961446e-14,2.5172866799999997e-15
2.35832,2.1349053e-14,2.46501342e-15
2.35881,2.2702903199999998e-14,2.3210096400000003e-15
2.35923,2.10672612e-14,2.3167323e-15
2.35994,2.26328958e-14,2.1330950400000004e-15
2.36047,1.9697871600000002e-14,1.69866468e-15
2.36102,1.567017126e-14,1.6057486800000001e-15
2.36149,1.78674264e-14,2.3270812199999997e-15
2.362,1.573575714e-14,1.53908145e-15
2.36253,2.07829062e-14,1.63950282e-15
2.36287,1.79228556e-14,2.2184495999999997e-15
2.36336,1.7169274800000002e-14,1.94369058e-15
2.364,2.1800016e-14,2.8309582800000005e-15
2.3644499999999997,2.02978206e-14,2.48555106e-15
2.36492,1.9986712199999997e-14,2.25846756e-15
2.3654499999999996,2.00296458e-14,2.09650536e-15
2.366,2.73511062e-14,2.1598965e-15
2.3664899999999998,2.80000764e-14,2.71423656e-15
2.3669000000000002,2.28731958e-14,2.14882668e-15
2.3674299999999997,3.1354183800000004e-14,2.4070851e-15
2.3679200000000002,3.40341696e-14,2.4135732e-15
2.36852,3.3068323800000003e-14,3.0836257200000004e-15
2.36926,3.08074212e-14,2.846577780000001e-15
2.36956,3.37113666e-14,2.6311087800000005e-15
2.36988,3.17872044e-14,2.77181244e-15
2.3706,3.42695034e-14,2.57813064e-15
2.3709499999999997,3.3548443199999996e-14,2.99692548e-15
2.37152,2.4763716e-14,2.39388462e-15
2.37199,2.9141181e-14,2.7567376199999995e-15
2.3724600000000002,2.3061591e-14,2.45408778e-15
2.3729699999999996,2.95426422e-14,2.3140569599999997e-15
2.37412,2.05932294e-14,2.5433672400000003e-15
2.37502,1.427631912e-14,1.5749646480000002e-15
2.3759200000000003,1.2175504379999998e-14,2.0052714599999997e-15
2.37696,1.399624146e-14,1.52433504e-15
2.40009,1.1864716379999999e-14,1.6682427000000002e-15
2.40175,1.00946025e-14,1.2758456160000001e-15
2.4145100000000004,9.88677504e-15,9.43268814e-16
2.42377,9.82335186e-15,1.7038071e-15
2.42649,1.441729512e-14,2.2358313e-15
2.42862,1.8706393800000002e-14,1.99372104e-15
2.42994,2.4210064800000003e-14,2.1760767000000003e-15
2.43188,2.91125052e-14,1.65491406e-15
2.43383,6.04694124e-14,3.15656478e-15
2.43491,5.2424328599999996e-14,3.73419792e-15
2.43521,8.67870684e-14,3.637324980000001e-15
2.43599,8.521422480000001e-14,4.8211869599999995e-15
2.43698,9.339371640000001e-14,3.5903062800000004e-15
2.43752,1.0347478200000001e-13,3.72298392e-15
2.43795,1.46892186e-13,4.4294018399999994e-15
2.43804,1.078083522e-13,3.98326086e-15
2.43877,1.4393168999999998e-13,4.1549311800000004e-15
2.43888,1.170233766e-13,4.06135836e-15
2.4392300000000002,1.197706464e-13,3.66495948e-15
2.43964,1.1349673380000001e-13,3.87502974e-15
2.43981,1.251046656e-13,3.12825744e-15
2.4400500000000003,1.0558125180000001e-13,3.73011282e-15
2.44087,1.023716448e-13,3.3605154e-15
2.44094,8.779728960000001e-14,3.59852454e-15
2.44185,7.55536842e-14,3.4934974199999997e-15
2.44198,7.096026960000001e-14,3.3599867399999998e-15
2.44289,5.404186800000001e-14,2.9216314800000002e-15
2.4437699999999998,4.23211554e-14,2.4620176799999997e-15
