,Yield,Yield_err
2.17487,5.2336539e-14,4.28099256e-15
2.19979,4.0068423e-14,2.96200188e-15
2.2054,3.7741357799999994e-14,2.99548368e-15
2.22465,6.47887248e-14,3.64626414e-15
2.2294,7.58710404e-14,5.03982792e-15
2.24456,9.10498302e-14,6.5245294800000004e-15
2.28997,6.86162232e-14,4.85524548e-15
2.29173,8.04509982e-14,4.25425518e-15
2.29393,1.17780642e-13,6.08763204e-15
2.29569,1.41282783e-13,6.16528098e-15
2.29775,2.0820393e-13,6.88703004e-15
2.29981,3.13508196e-13,8.24515758e-15
2.30201,5.0404527e-13,9.24325164e-15
2.30346,6.592870800000001e-13,1.007640378e-14
2.3059000000000003,9.552277439999997e-13,1.190875536e-14
2.30771,9.675727560000003e-13,1.330576344e-14
2.30981,8.37929304e-13,1.30558995e-14
2.31386,4.56980112e-13,1.03871277e-14
2.31799,2.56571514e-13,8.3053287e-15
2.31965,2.0873258999999999e-13,7.94085768e-15
2.3209,1.87019082e-13,6.84613098e-15
2.32185,1.87949844e-13,7.72599744e-15
2.32288,1.60638948e-13,5.45506632e-15
2.32406,1.528641216e-13,5.433231060000001e-15
2.32406,1.64382822e-13,6.8925249e-15
2.32446,1.6185806999999999e-13,6.39867636e-15
2.32507,1.64937114e-13,6.131703060000002e-15
2.32548,1.78289784e-13,5.10994746e-15
2.32581,1.96456464e-13,8.056361880000001e-15
2.3259600000000002,1.9558017000000002e-13,8.5336938e-15
2.32655,1.82711304e-13,6.4535769e-15
2.32702,1.7652758400000004e-13,8.03191536e-15
2.32755,1.4630537340000002e-13,7.06876092e-15
2.3280100000000004,1.407844008e-13,6.52376052e-15
2.32856,1.196903862e-13,5.1378062400000004e-15
2.32902,1.170496494e-13,3.88523448e-15
2.32979,1.201206834e-13,7.40138418e-15
2.32991,1.1312138519999999e-13,3.7199561400000005e-15
2.33397,9.04594932e-14,3.1530564e-15
2.3417800000000004,7.001028360000001e-14,2.4670800000000002e-15
2.3435,7.593159600000001e-14,5.75063532e-15
2.34522,7.47259308e-14,5.214477960000001e-15
2.3467,7.24405176e-14,5.69402064e-15
2.34946,7.4719683e-14,5.4273356999999995e-15
2.35052,7.31154402e-14,6.2989198199999994e-15
2.3512399999999998,8.512034760000001e-14,5.81047002e-15
2.35203,8.256531780000001e-14,4.74932124e-15
2.35277,8.903723760000001e-14,6.06022182e-15
2.3535999999999997,9.752976000000001e-14,5.73557652e-15
2.3540900000000002,9.62878896e-14,4.59466416e-15
2.35466,1.0378845359999999e-13,5.69386044e-15
2.35519,1.132634826e-13,5.8643292600000005e-15
2.35573,1.249409412e-13,4.79810214e-15
2.356,1.244893374e-13,7.50524184e-15
2.35643,1.3389836400000003e-13,4.9896693e-15
2.3569400000000003,1.3782150180000001e-13,5.04968022e-15
2.35743,1.482782364e-13,6.56582904e-15
2.3577399999999997,1.339778232e-13,8.08365996e-15
2.3577399999999997,1.479680892e-13,5.700717e-15
2.35832,1.6546257e-13,5.39159508e-15
2.35881,1.522646532e-13,6.598205460000002e-15
2.35923,1.69304166e-13,6.42893814e-15
2.35994,1.86411924e-13,6.34869396e-15
2.35994,1.78091136e-13,9.88764012e-15
2.36047,2.1766694400000002e-13,5.0894899200000006e-15
2.36102,2.44782396e-13,5.21015256e-15
2.36123,2.3810526e-13,1.025986482e-14
2.36149,2.8205452800000004e-13,5.2680488399999995e-15
2.362,3.3962720399999996e-13,5.25443184e-15
2.36253,4.10204916e-13,5.633945640000001e-15
2.36287,4.696567380000002e-13,6.5344939199999995e-15
2.36336,5.607160199999999e-13,6.68123712e-15
2.36381,5.24908116e-13,1.0316623680000001e-14
2.364,6.66713952e-13,7.852170960000001e-15
2.3644499999999997,7.40010258e-13,7.4176605e-15
2.36492,7.8196023e-13,8.936260379999999e-15
2.3654499999999996,7.657880399999999e-13,8.635196519999999e-15
2.366,6.8768253e-13,8.95260078e-15
2.3664899999999998,6.082922160000001e-13,8.52251184e-15
2.3669000000000002,5.37941988e-13,8.60432598e-15
2.3674299999999997,4.618101419999999e-13,7.36370514e-15
2.3679200000000002,4.1165793e-13,7.90508502e-15
2.36852,3.33209592e-13,8.0953866e-15
2.36926,3.0599321400000003e-13,7.23434364e-15
2.36956,2.53255374e-13,7.22447532e-15
2.36988,2.3583362400000007e-13,7.49258604e-15
2.3706,2.16596808e-13,6.75108432e-15
2.3709499999999997,2.0386251000000002e-13,6.96258036e-15
2.37152,1.9319959799999998e-13,5.72990544e-15
2.37199,1.86117156e-13,5.689134539999999e-15
2.37229,1.7320183199999998e-13,8.003511900000001e-15
2.3724600000000002,1.72171746e-13,6.49916982e-15
2.3729699999999996,1.5642616859999999e-13,7.08386778e-15
2.37412,1.32940368e-13,4.47243156e-15
2.37502,1.184973768e-13,4.2227118e-15
2.3759200000000003,1.14635115e-13,4.130708940000001e-15
2.37696,1.125686952e-13,4.9687792199999996e-15
2.37792,1.0987445160000001e-13,4.6407537e-15
2.37987,1.1050676100000001e-13,4.9354576199999996e-15
2.3819,1.401596208e-13,5.6279862e-15
2.38403,1.77855642e-13,5.6158430400000004e-15
2.38596,2.57162652e-13,6.42647106e-15
2.38788,3.60797634e-13,6.90160824e-15
2.3898099999999998,4.881966840000001e-13,7.524882360000002e-15
2.39007,5.36479362e-13,8.5221594e-15
2.3918000000000004,6.92611884e-13,9.25784586e-15
2.39386,1.01724597e-12,1.134102258e-14
2.3948,1.28195244e-12,1.29837294e-14
2.39596,1.489105458e-12,1.4171532300000001e-14
2.39804,1.91125008e-12,1.3298938920000001e-14
2.39975,1.94208858e-12,1.595899584e-14
2.40009,2.0023718400000003e-12,9.54037458e-15
2.40175,1.7509059000000001e-12,7.91503344e-15
2.4035300000000004,1.4158972620000001e-12,8.4042522e-15
2.4057,1.07017605e-12,7.4171799e-15
2.4078000000000004,8.40332304e-13,6.811143300000001e-15
2.40986,6.586687080000001e-13,9.573792300000001e-15
2.4099299999999997,6.85457352e-13,5.7476556e-15
2.41167,5.87833074e-13,4.78088064e-15
2.4145100000000004,4.84856514e-13,4.18831686e-15
2.41488,4.66295742e-13,7.46038584e-15
2.4195300000000004,3.6186777000000004e-13,6.72069438e-15
2.41974,3.63727692e-13,4.25073078e-15
2.42362,3.1153293e-13,6.8570886600000006e-15
2.42377,3.1819885200000003e-13,4.10076756e-15
2.42649,2.99234376e-13,4.22594784e-15
2.42791,2.7899791199999994e-13,7.34680404e-15
2.42862,2.7583876800000003e-13,5.84063568e-15
2.42994,2.76420294e-13,5.502101039999999e-15
2.43091,2.77713108e-13,7.90421994e-15
2.43188,2.28217716e-13,3.7252908e-15
2.43266,2.75548806e-13,8.00833392e-15
2.43383,2.6505730800000004e-13,6.09293466e-15
2.43491,2.6207438400000003e-13,7.89813234e-15
2.43521,2.77323822e-13,7.23024252e-15
2.43599,2.6653114800000005e-13,8.3354463e-15
2.43698,2.60217666e-13,7.28131428e-15
2.43752,2.7361038600000005e-13,7.2088398e-15
2.43795,2.7794379599999997e-13,7.60064094e-15
